latitude,longitude
80.8,4.11
80.62,5.91
80.28,4.11
80.18,9.28
80.08,4.52
79.92,9.81
79.52,10.32
79.4,3.53
78.6,10.29
78.48,10.29
78.3,10.92
78,11.01
78,9.84
77.6,8.91
77.17,6.58
75.97,7.8
75.42,12.11
75.35,10.39
75.25,6.43
74,10.07
73.37,4.21
73.32,3.35
72.48,1.8
72.37,1.07
72.15,-0.12
70.98,0.25
70.95,17.12
70.75,0.87
70.6,4.9
70.32,2.02
68.8,3.9
68.78,2.02
68.77,9.71
68.73,1.75
68.18,2.2
68,0.87
67.15,3.75
67,1.09
66.25,5.09
66.23,-0.13
65.98,1.73
65.65,-13.33
65.35,-22.67
65.33,0.04
65.03,-13.08
64.98,1.45
64.95,-12.56
64.95,-13.21
64.9,-12.83
64.88,-13.48
64.85,-12.91
64.83,-13.09
64.73,-11.93
64.7,3.09
64.67,-13.61
64.65,-12.87
64.58,-11.98
64.57,-13.38
64.57,-13.46
64.5,-13.31
64.4,2.12
64.32,-12.73
64.3,2.07
64.23,-11.08
64.05,-11.4
64.05,-12.94
64.02,-11
64,0.75
63.73,-12.21
63.35,-8.39
63.08,-10.64
63,0.37
62.75,-11.74
62.7,-10.7
62.57,-62.48
62.53,2.34
62.48,0.45
62.47,-0.63
62.43,-63.4
62.35,-60.99
62.3,-10.97
62.17,-11.39
62.12,-63.74
62.1,-11.3
62.1,-62.05
62.08,-59.67
61.95,-12.11
61.83,-60.91
61.8,-60.2
61.8,-63.37
61.8,-63.83
61.78,-56.6
61.75,-56.15
61.75,-62.7
61.72,-10.47
61.72,-57.75
61.72,-61.32
61.72,-61.94
61.72,-62.2
61.72,-62.53
61.72,-64.45
61.7,-9.6
61.7,-60.73
61.7,-61.63
61.7,-62.87
61.7,-63.53
61.7,-63.65
61.7,-64.08
61.68,-60.07
61.68,-60.83
61.68,-62.35
61.68,-62.45
61.67,-57.27
61.67,-61.43
61.67,-64.21
61.65,-56.93
61.65,-61.13
61.63,-59.72
61.63,-62.7
61.63,-63.4
61.63,-64.32
61.63,-64.38
61.62,-63.87
61.6,-60.67
61.6,-64.15
61.58,-57.88
61.58,-58.37
61.58,-61.18
61.58,-61.3
61.58,-62.12
61.58,-62.42
61.58,-62.78
61.58,-63.07
61.58,-63.1
61.57,-59.07
61.57,-63.7
61.55,1.13
61.55,-60.91
61.55,-61.82
61.55,-61.86
61.55,-62.58
61.55,-63.4
61.53,-56.66
61.53,-59.3
61.53,-59.7
61.53,-60.48
61.53,-60.52
61.53,-63
61.53,-63.55
61.52,-56.18
61.52,-58.93
61.52,-59.12
61.52,-59.58
61.52,-60.78
61.52,-61.13
61.52,-63.6
61.52,-64
61.5,-60.7
61.5,-61.24
61.5,-61.8
61.5,-64.5
61.48,-60.05
61.48,-60.67
61.48,-63.42
61.47,-61.08
61.47,-61.73
61.47,-63.8
61.47,-64.3
61.45,-8.4
61.45,-58.98
61.45,-64
61.45,-66.15
61.43,-53.18
61.43,-56.29
61.43,-56.97
61.43,-60.78
61.43,-63.48
61.43,-64.23
61.42,-61.4
61.42,-61.5
61.42,-64.18
61.42,-66.13
61.42,-66.16
61.4,-56.97
61.4,-58.93
61.4,-59.58
61.4,-64.22
61.38,-57.92
61.38,-60.85
61.38,-61.8
61.38,-62.79
61.37,-56.7
61.37,-60.12
61.35,-56.82
61.35,-60.1
61.35,-60.71
61.35,-61.89
61.35,-61.98
61.35,-63.74
61.35,-65.65
61.33,-55.93
61.33,-63.3
61.33,-63.68
61.32,-58.16
61.32,-60.57
61.32,-62.05
61.32,-63
61.32,-64.02
61.3,-11.68
61.3,-63.57
61.3,-64.62
61.3,-64.74
61.28,-57.5
61.28,-59.8
61.28,-63.42
61.27,-56.63
61.27,-63.07
61.27,-65.1
61.25,-20.05
61.25,-57.27
61.25,-64.03
61.25,-64.15
61.25,-64.62
61.25,-64.99
61.25,-66.42
61.23,-61.27
61.23,-64.63
61.23,-65.62
61.22,-59.62
61.22,-63.32
61.22,-65.28
61.22,-65.8
61.2,-12.75
61.2,-56.35
61.2,-58.93
61.2,-61.42
61.18,-63.79
61.18,-64.53
61.17,-62.43
61.17,-63.9
61.17,-65.38
61.15,-57.29
61.15,-57.41
61.15,-60.13
61.15,-64.57
61.13,-55.73
61.13,-61.19
61.13,-61.43
61.13,-61.98
61.13,-65.25
61.12,-58.23
61.12,-61.75
61.12,-62.43
61.12,-63.7
61.12,-64.85
61.1,-10.66
61.1,-61.33
61.1,-61.4
61.1,-63.33
61.1,-63.41
61.08,-63.36
61.08,-65.37
61.07,-65.53
61.05,-57.1
61.05,-58.37
61.05,-59.02
61.05,-66.48
61.03,-56.22
61.03,-60.94
61.03,-61.88
61.03,-62.83
61.03,-63.6
61.02,-60.43
61.02,-60.48
61.02,-62.07
61.02,-62.5
61.02,-63.87
61.02,-64.6
61,-51.27
61,-58.62
61,-62.53
60.98,-57.58
60.98,-62.73
60.98,-63.12
60.97,-55.82
60.97,-61.57
60.95,-8.37
60.95,-53.22
60.95,-65.02
60.93,-58.46
60.93,-63.59
60.93,-63.76
60.92,-13.75
60.9,-59.94
60.88,-54.02
60.88,-54.78
60.88,-61.18
60.88,-62.47
60.87,-57.23
60.87,-57.85
60.87,-58.52
60.87,-60.13
60.87,-60.83
60.87,-60.83
60.87,-62.35
60.87,-63.12
60.85,-4.9
60.85,-54.77
60.85,-57.98
60.85,-58.72
60.85,-62.52
60.83,-51.7
60.83,-60.62
60.82,-57.07
60.82,-57.6
60.82,-59.58
60.82,-61.54
60.82,-62.85
60.8,-7.58
60.8,-62.65
60.78,-7.9
60.78,-57.87
60.78,-63.29
60.77,-55.78
60.77,-55.82
60.77,-56.25
60.77,-59.57
60.75,-58.15
60.75,-60.45
60.75,-61.42
60.75,-61.47
60.75,-62.45
60.72,-6.03
60.72,-58.63
60.72,-59.99
60.7,-9.95
60.7,-54.52
60.7,-60.67
60.7,-61.63
60.68,-53.55
60.68,-56.57
60.67,-9.13
60.67,-58.37
60.67,-58.67
60.67,-61.07
60.65,-15.93
60.63,-12.15
60.63,-58.66
60.63,-61.16
60.63,-62.03
60.62,-0.19
60.62,-9.52
60.62,-59.93
60.62,-62.72
60.6,-9.55
60.6,-56.31
60.58,-15.75
60.58,-58.48
60.58,-58.82
60.58,-59.61
60.58,-60.26
60.58,-63.42
60.57,-58.58
60.57,-59.48
60.57,-61.13
60.55,-57.9
60.53,-57.12
60.53,-60.03
60.52,-55.78
60.52,-63.26
60.5,-13.9
60.5,-58.53
60.5,-147
60.48,-5.87
60.48,-9.95
60.48,-56.15
60.48,-59
60.48,-59.13
60.47,-25.15
60.47,-60.71
60.45,-5.27
60.43,-7.08
60.43,-58.25
60.42,-7
60.42,-53.42
60.42,-54.83
60.42,-56.06
60.4,-60.35
60.38,-57
60.38,-58.32
60.38,-60.12
60.37,-56.12
60.37,-57.57
60.37,-57.8
60.37,-61.96
60.35,-1.86
60.33,-55.55
60.33,-56.82
60.32,-5.43
60.32,-59.49
60.32,-59.88
60.3,-55.12
