***	O
START	O
OF	O
THIS	O
PROJECT	O
GUTENBERG	O
EBOOK	O
A	O
NEW	O
VOYAGE	O
ROUND	O
THE	O
WORLD	O
***	O
Produced	O
by	O
Steven	O
Gibbs	O
,	O
Martin	O
Pettit	O
and	O
the	O
Online	O
Distributed	O
Proofreading	O
Team	O
at	O
http://www.pgdp.net	O
A	O
NEW	O
VOYAGE	O
ROUND	O
THE	O
WORLD	O
,	O
BY	O
A	O
Course	O
never	O
sailed	O
before	O
.	O

BEING	O
A	O
VOYAGE	O
undertaken	O
by	O
some	O
MERCHANTS	O
,	O
who	O
afterwards	O
proposed	O
the	O
Setting	O
up	O
an	O
_	O
East-India	PNM
_	O
Company	O
in	O
FLANDERS	O
.	O

_	O
LONDON	O
:	O
_	O
Printed	O
for	O
A.	O
BETTESWORTH	O
,	O
at	O
the	O
_	O
Red-Lyon	O
_	O
,	O
in	O
_	O
Pater-Noster-Row	O
_	O
;	O
and	O
W.	O
MEARS	O
,	O
at	O
the	O
_	O
Lamb	O
_	O
,	O
without	O
_	O
Temple-Bar	O
_	O
.	O

M.DCC.XXV	O
.	O

NEW	O
VOYAGE	O
ROUND	O
THE	O
WORLD	O
.	O

It	O
has	O
for	O
some	O
ages	O
been	O
thought	O
so	O
wonderful	O
a	O
thing	O
to	O
sail	O
the	O
tour	O
or	O
circle	O
of	O
the	O
globe	O
,	O
that	O
when	O
a	O
man	O
has	O
done	O
this	O
mighty	O
feat	O
,	O
he	O
presently	O
thinks	O
it	O
deserves	O
to	O
be	O
recorded	O
like	O
Sir	O
Francis	O
Drake	O
's	O
.	O

So	O
soon	O
as	O
men	O
have	O
acted	O
the	O
sailor	O
,	O
they	O
come	O
ashore	O
and	O
write	O
books	O
of	O
their	O
voyage	O
,	O
not	O
only	O
to	O
make	O
a	O
great	O
noise	O
of	O
what	O
they	O
have	O
done	O
themselves	O
,	O
but	O
pretending	O
to	O
show	O
the	O
way	O
to	O
others	O
to	O
come	O
after	O
them	O
,	O
they	O
set	O
up	O
for	O
teachers	O
and	O
chart	O
makers	O
to	O
posterity	O
.	O

Though	O
most	O
of	O
them	O
have	O
had	O
this	O
misfortune	O
,	O
that	O
whatever	O
success	O
they	O
have	O
had	O
in	O
the	O
voyage	O
,	O
they	O
have	O
had	O
very	O
little	O
in	O
the	O
relation	O
;	O
except	O
it	O
be	O
to	O
tell	O
us	O
,	O
that	O
a	O
seaman	O
when	O
he	O
comes	O
to	O
the	O
press	O
,	O
is	O
pretty	O
much	O
out	O
of	O
his	O
element	O
,	O
and	O
a	O
very	O
good	O
sailor	O
may	O
make	O
but	O
a	O
very	O
indifferent	O
author	O
.	O

I	O
do	O
not	O
in	O
this	O
,	O
lessen	O
the	O
merit	O
of	O
those	O
gentlemen	O
who	O
have	O
made	O
such	O
a	O
long	O
voyage	O
as	O
that	O
round	O
the	O
globe	O
;	O
but	O
I	O
must	O
be	O
allowed	O
to	O
say	O
,	O
as	O
the	O
way	O
is	O
now	O
a	O
common	O
road	O
,	O
the	O
reason	O
of	O
it	O
thoroughly	O
known	O
,	O
and	O
the	O
occasion	O
of	O
it	O
more	O
frequent	O
than	O
in	O
former	O
times	O
,	O
so	O
the	O
world	O
has	O
done	O
wondering	O
at	O
it	O
;	O
we	O
no	O
more	O
look	O
upon	O
it	O
as	O
a	O
mighty	O
thing	O
,	O
a	O
strange	O
and	O
never	O
heard	O
of	O
undertaking	O
;	O
this	O
can	O
not	O
be	O
now	O
expected	O
of	O
us	O
,	O
the	O
thing	O
is	O
made	O
familiar	O
,	O
every	O
ordinary	O
sailor	O
is	O
able	O
to	O
do	O
it	O
,	O
if	O
his	O
merchants	O
are	O
but	O
qualified	O
to	O
furnish	O
him	O
for	O
so	O
long	O
a	O
voyage	O
;	O
and	O
he	O
that	O
can	O
carry	O
a	O
ship	O
to	O
Lisbon	PNM
,	O
may	O
with	O
the	O
same	O
ease	O
carry	O
it	O
round	O
the	O
world	O
.	O

Some	O
tell	O
us	O
,	O
it	O
is	O
enough	O
to	O
wonder	O
at	O
a	O
thing	O
nine	O
days	O
,	O
one	O
would	O
reasonably	O
then	O
conclude	O
,	O
that	O
it	O
is	O
enough	O
that	O
sailing	O
round	O
the	O
world	O
has	O
been	O
wondered	O
at	O
above	O
a	O
hundred	O
years	O
.	O

I	O
shall	O
therefore	O
let	O
the	O
reader	O
know	O
,	O
that	O
it	O
is	O
not	O
the	O
rarity	O
of	O
going	O
round	O
the	O
world	O
that	O
has	O
occasioned	O
this	O
publication	O
,	O
but	O
if	O
some	O
incidents	O
have	O
happened	O
in	O
such	O
a	O
voyage	O
,	O
as	O
either	O
have	O
not	O
happened	O
to	O
others	O
,	O
or	O
as	O
no	O
other	O
people	O
,	O
though	O
performing	O
the	O
same	O
voyage	O
have	O
taken	O
notice	O
of	O
,	O
then	O
this	O
account	O
may	O
be	O
worth	O
publishing	O
,	O
though	O
the	O
thing	O
,	O
viz.	O
The	O
Voyage	O
round	O
the	O
World	O
,	O
be	O
in	O
itself	O
of	O
no	O
value	O
.	O

It	O
is	O
to	O
be	O
observed	O
,	O
of	O
the	O
several	O
navigators	O
whose	O
Voyages	O
round	O
the	O
World	O
have	O
been	O
published	O
,	O
that	O
few	O
,	O
if	O
any	O
of	O
them	O
,	O
have	O
diverted	O
us	O
with	O
that	O
variety	O
which	O
