A	O
GENERAL	O
HISTORY	O
OF	O
THE	O
PYRATES	O
,	O
FROM	O
Their	O
first	O
RISE	O
and	O
SETTLEMENT	O
in	O
the	O
Island	O
of	O
_	O
Providence	O
_	O
,	O
to	O
the	O
present	O
Time	O
.	O

With	O
the	O
remarkable	O
Actions	O
and	O
Adventures	O
of	O
the	O
two	O
Female	O
Pyrates	O
Mary	O
Read	O
and	O
Anne	O
Bonny	O
;	O
Contain	O
'd	O
in	O
the	O
following	O
Chapters	O
,	O
Introduction	O
.	O

Chap	O
.	O

I.	O
Of	O
Capt.	O
_	O
Avery	O
_	O
.	O

II	O
.	O

Of	O
Capt.	O
_	O
Martel	O
_	O
.	O

III	O
.	O

Of	O
Capt.	O
_	O
Teach	O
_	O
.	O

IV	O
.	O

Of	O
Capt.	O
_	O
Bonnet	O
_	O
.	O

V.	O
Of	O
Capt.	O
_	O
England	PNM
_	O
.	O

VI	O
.	O

Of	O
Capt.	O
_	O
Vane	O
_	O
.	O

VII	O
.	O

Of	O
Capt.	O
_	O
Rackam	O
_	O
.	O

VIII	O
.	O

Of	O
Capt.	O
_	O
Davis	O
_	O
.	O

IX	O
.	O

Of	O
Capt.	O
_	O
Roberts	O
_	O
.	O

X.	O
Of	O
Capt.	O
_	O
Anstis	O
_	O
.	O

XI	O
.	O

Of	O
Capt.	O
_	O
Worley	O
_	O
.	O

XII	O
.	O

Of	O
Capt.	O
_	O
Lowther	O
_	O
.	O

XIII	O
.	O

Of	O
Capt.	O
_	O
Low	O
_	O
.	O

XIV	O
.	O

Of	O
Capt.	O
_	O
Evans	O
_	O
.	O

XV	O
.	O

Of	O
Capt.	O
_	O
Phillips	O
_	O
.	O

XVI	O
.	O

Of	O
Capt.	O
_	O
Spriggs	O
_	O
.	O

And	O
their	O
several	O
Crews	O
.	O

To	O
which	O
is	O
added	O
.	O

A	O
short	O
ABSTRACT	O
of	O
the	O
Statute	O
and	O
Civil	O
Law	O
,	O
in	O
Relation	O
to	O
Pyracy	PNM
.	O

The	O
second	O
EDITION	O
,	O
with	O
considerable	O
ADDITIONS	O
By	O
Captain	O
Charles	O
Johnson	O
.	O

_	O
LONDON	O
_	O
:	O
Printed	O
for	O
,	O
and	O
sold	O
by	O
_	O
T.	O
Warner	O
_	O
,	O
at	O
the	O
_	O
Black-Boy	O
_	O
in	O
_	O
Pater-Noster-Row	O
_	O
,	O
1724	O
.	O

THE	O
PREFACE	PNM
.	O

H	O
_	O
AVING	O
taken	O
more	O
than	O
ordinary	O
Pains	O
in	O
collecting	O
the	O
Materials	O
which	O
compose	O
the	O
following	O
History	O
,	O
we	O
could	O
not	O
be	O
satisfied	O
with	O
our	O
selves	O
,	O
if	O
any	O
Thing	O
were	O
wanting	O
to	O
it	O
,	O
which	O
might	O
render	O
it	O
entirely	O
satisfactory	O
to	O
the	O
Publick	O
:	O
It	O
is	O
for	O
this	O
Reason	O
we	O
have	O
subjoined	O
to	O
the	O
Work	O
,	O
a	O
short	O
Abstract	O
of	O
the	O
Laws	O
now	O
in	O
Force	O
against	O
Pyrates	O
,	O
and	O
made	O
Choice	O
of	O
some	O
particular	O
Cases	O
,	O
-LRB-	O
the	O
most	O
curious	O
we	O
could	O
meet	O
with	O
-RRB-	O
which	O
have	O
been	O
heretofore	O
tried	O
,	O
by	O
which	O
it	O
will	O
appear	O
what	O
Actions	O
have	O
,	O
and	O
what	O
have	O
not	O
been	O
adjudged	O
Pyracy	O
.	O

_	O
_	O
It	O
is	O
possible	O
this	O
Book	O
may	O
fall	O
into	O
the	O
Hands	O
of	O
some	O
Masters	O
of	O
Ships	O
,	O
and	O
other	O
honest	O
Mariners	O
,	O
who	O
frequently	O
,	O
by	O
contrary	O
Winds	O
or	O
Tempests	O
,	O
or	O
other	O
Accidents	O
incident	O
to	O
long	O
Voyages	O
,	O
find	O
themselves	O
reduced	O
to	O
great	O
Distresses	O
,	O
either	O
through	O
Scarcity	O
of	O
Provisions	O
,	O
or	O
Want	O
of	O
Stores	O
.	O

I	O
say	O
,	O
it	O
may	O
be	O
a	O
Direction	O
to	O
such	O
as	O
those	O
,	O
what	O
Lengths	O
they	O
may	O
venture	O
to	O
go	O
,	O
without	O
violating	O
the	O
Law	O
of	O
Nations	O
,	O
in	O
Case	O
they	O
should	O
meet	O
other	O
Ships	O
at	O
Sea	O
,	O
or	O
be	O
cast	O
on	O
some	O
inhospitable	O
Shore	O
,	O
which	O
should	O
refuse	O
to	O
trade	O
with	O
them	O
for	O
such	O
Things	O
as	O
are	O
absolutely	O
necessary	O
for	O
the	O
Preservation	O
of	O
their	O
Lives	O
,	O
or	O
the	O
Safety	O
of	O
the	O
Ship	O
and	O
Cargoe	PNM
.	O

_	O
_	O
We	O
have	O
given	O
a	O
few	O
Instances	O
in	O
the	O
Course	O
of	O
this	O
History	O
of	O
the	O
Inducements	O
Men	O
have	O
to	O
engage	O
themselves	O
headlong	O
in	O
a	O
Life	O
of	O
so	O
much	O
Peril	O
to	O
themselves	O
,	O
and	O
so	O
destructive	O
to	O
the	O
Navigation	O
of	O
the	O
trading	O
World	O
;	O
to	O
remedy	O
which	O
Evil	O
there	O
seems	O
to	O
be	O
but	O
two	O
Ways	O
,	O
either	O
to	O
find	O
Employment	O
for	O
the	O
great	O
Numbers	O
of	O
Seamen	O
turn	O
'd	O
adrift	O
at	O
the	O
Conclusion	O
of	O
a	O
War	O
,	O
and	O
thereby	O
prevent	O
their	O
running	O
into	O
such	O
Undertakings	O
,	O
or	O
to	O
guard	O
sufficiently	O
the	O
Coast	O
of	O
_	O
Africa	PNM
_	O
,	O
the	O
_	O
West-Indies	O
_	O
,	O
and	O
other	O
Places	O
whereto	O
Pyrates	O
resort	O
.	O

_	O
_	O
I	O
can	O
not	O
but	O
take	O
Notice	O
in	O
this	O
Place	O
,	O
that	O
during	O
this	O
long	O
Peace	O
,	O
I	O
have	O
not	O
so	O
much	O
as	O
heard	O
of	O
a	O
_	O
Dutch	O
_	O
Pyrate	O
:	O
It	O
is	O
not	O
that	O
I	O
take	O
them	O
to	O
be	O
honester	O
than	O
their	O
Neighbours	O
;	O
but	O
when	O
we	O
account	O
for	O
it	O
,	O
it	O
will	O
,	O
perhaps	O
,	O
be	O
a	O
Reproach	O
to	O
our	O
selves	O
for	O
our	O
want	O
of	O
Industry	PNM
:	O
The	O
Reason	O
I	O
take	O
to	O
be	O
,	O
that	O
after	O
a	O
War	O
,	O
when	O
the	O
_	O
Dutch	O
_	O
Ships	O
are	O
laid	O
up	O
,	O
they	O
have	O
a	O
Fishery	O
,	O
where	O
their	O
Seamen	O
find	O
immediate	O
Business	O
,	O
and	O
as	O
comfortable	O
Bread	O
as	O
they	O
had	O
before	O
.	O

Had	O
ours	O
the	O
same	O
Recourse	O
in	O
their	O
Necessities	O
,	O
I	O
'm	O
certain	O
we	O
should	O
find	O
the	O
same	O
Effect	O
from	O
it	O
;	O
for	O
a	O
Fishery	O
is	O
a	O
Trade	O
that	O
can	O
not	O
be	O
overstock	O
'd	O
;	O
the	O
Sea	O
is	O
wide	O
enough	O
for	O
us	O
all	O
,	O
we	O
need	O
not	O
quarrel	O
for	O
Elbow-room	O
:	O
Its	O
Stores	O
are	O
infinite	O
,	O
and	O
will	O
ever	O
reward	O
the	O
Labourer	O
.	O

Besides	O
,	O
our	O
own	O
Coast	O
,	O
for	O
the	O
most	O
Part	O
,	O
supply	O
the	O
_	O
Dutch	O
_	O
,	O
who	O
employ	O
several	O
hundred	O
Sail	O
constantly	O
in	O
the	O
Trade	O
,	O
and	O
so	O
sell	O
to	O
us	O
our	O
own	O
Fish	O
.	O

I	O
call	O
it	O
our	O
own	O
,	O
for	O
the	O
Sovereignty	O
of	O
the	O
_	O
British	PNM
Seas	PNM
_	O
,	O
are	O
to	O
this	O
Day	O
acknowledged	O
us	O
by	O
the	O
_	O
Dutch	O
_	O
,	O
and	O
all	O
the	O
neighbouring	O
Nations	O
;	O
wherefore	O
,	O
if	O
there	O
was	O
a	O
publick	O
Spirit	O
among	O
us	O
,	O
it	O
would	O
be	O
well	O
worth	O
our	O
while	O
to	O
establish	O
a	O
National	O
Fishery	O
,	O
which	O
would	O
be	O
the	O
best	O
Means	O
in	O
the	O
World	O
to	O
prevent	O
Pyracy	O
,	O
employ	O
a	O
Number	O
of	O
the	O
Poor	O
,	O
and	O
ease	O
the	O
Nation	O
of	O
a	O
great	O
Burthen	O
,	O
by	O
lowering	O
the	O
Price	O
of	O
Provision	O
in	O
general	O
,	O
as	O
well	O
as	O
of	O
several	O
other	O
Commodities	O
.	O

_	O
_	O
I	O
need	O
not	O
bring	O
any	O
Proofs	O
of	O
what	O
I	O
advance	O
,	O
_	O
viz.	O
_	O
that	O
there	O
are	O
Multitudes	O
of	O
Seamen	O
at	O
this	O
Day	O
unemploy	O
'd	O
;	O
it	O
is	O
but	O
too	O
evident	O
by	O
their	O
straggling	O
,	O
and	O
begging	O
all	O
over	O
the	O
Kingdom	O
.	O

Nor	O
is	O
it	O
so	O
much	O
their	O
Inclination	O
to	O
Idleness	O
,	O
as	O
their	O
own	O
hard	O
Fate	O
,	O
in	O
being	O
cast	O
off	O
after	O
their	O
Work	O
is	O
done	O
,	O
to	O
starve	O
or	O
steal	O
.	O

I	O
have	O
not	O
known	O
a	O
Man	O
of	O
War	O
commission	O
'd	O
for	O
several	O
Years	O
past	O
,	O
but	O
three	O
times	O
her	O
Compliment	O
of	O
Men	O
have	O
offer	O
'd	O
themselves	O
in	O
_	O
24	O
_	O
Hours	O
;	O
the	O
Merchants	O
take	O
their	O
Advantage	O
of	O
this	O
,	O
lessen	O
their	O
Wages	O
,	O
and	O
those	O
few	O
who	O
are	O
in	O
Business	O
are	O
poorly	O
paid	O
,	O
and	O
but	O
poorly	O
fed	O
;	O
such	O
Usage	O
breeds	O
Discontents	O
amongst	O
them	O
,	O
and	O
makes	O
them	O
eager	O
for	O
any	O
Change	O
.	O

_	O
_	O
I	O
shall	O
not	O
repeat	O
what	O
I	O
have	O
said	O
in	O
the	O
History	O
concerning	O
the	O
Privateers	O
of	O
the	O
_	O
West-Indies	O
_	O
,	O
where	O
I	O
have	O
taken	O
Notice	O
they	O
live	O
upon	O
Spoil	PNM
;	O
and	O
as	O
Custom	O
is	O
a	O
second	O
Nature	O
,	O
it	O
is	O
no	O
Wonder	O
that	O
,	O
when	O
an	O
honest	O
Livlyhood	O
is	O
not	O
easily	O
had	O
,	O
they	O
run	O
into	O
one	O
so	O
like	O
their	O
own	O
;	O
so	O
that	O
it	O
may	O
be	O
said	O
,	O
that	O
Privateers	O
in	O
Time	O
of	O
War	O
are	O
a	O
Nursery	O
for	O
Pyrates	O
against	O
a	O
Peace	O
.	O

_	O
_	O
Now	O
we	O
have	O
accounted	O
for	O
their	O
Rise	O
and	O
Beginning	O
,	O
it	O
will	O
be	O
natural	O
to	O
enquire	O
why	O
they	O
are	O
not	O
taken	O
and	O
destroy	O
'd	O
,	O
before	O
they	O
come	O
to	O
any	O
Head	O
,	O
seeing	O
that	O
they	O
are	O
seldom	O
less	O
than	O
twelve	O
Men	O
of	O
War	O
stationed	O
in	O
our	O
American	O
Plantations	O
,	O
even	O
in	O
Time	O
of	O
Peace	O
;	O
a	O
Force	O
sufficient	O
to	O
contend	O
with	O
a	O
powerful	O
Enemy	O
.	O

This	O
Enquiry	O
,	O
perhaps	O
,	O
will	O
not	O
turn	O
much	O
to	O
the	O
Honour	O
of	O
those	O
concern	O
'd	O
in	O
that	O
Service	O
;	O
however	O
,	O
I	O
hope	O
I	O
may	O
be	O
excus	O
'd	O
,	O
if	O
what	O
I	O
hint	O
is	O
with	O
a	O
Design	O
of	O
serving	O
the	O
Publick	O
.	O

_	O
_	O
I	O
say	O
,	O
't	O
is	O
strange	O
that	O
a	O
few	O
Pyrates	O
should	O
ravage	O
the	O
Seas	O
for	O
Years	O
,	O
without	O
ever	O
being	O
light	O
upon	O
,	O
by	O
any	O
of	O
our	O
Ships	O
of	O
War	O
;	O
when	O
in	O
the	O
mean	O
Time	O
,	O
they	O
-LRB-	O
the	O
Pyrates	O
-RRB-	O
shall	O
take	O
Fleets	O
of	O
Ships	O
;	O
it	O
looks	O
as	O
if	O
one	O
was	O
much	O
more	O
diligent	O
in	O
their	O
Affairs	O
,	O
than	O
the	O
other	O
.	O

_	O
Roberts	O
_	O
and	O
his	O
Crew	O
,	O
alone	O
,	O
took	O
400	O
Sail	O
,	O
before	O
he	O
was	O
destroy	O
'd	O
.	O

_	O
_	O
This	O
Matter	O
,	O
I	O
may	O
probably	O
set	O
right	O
another	O
Time	O
,	O
and	O
only	O
observe	O
for	O
the	O
present	O
,	O
that	O
the	O
Pyrates	O
at	O
Sea	O
,	O
have	O
the	O
same	O
Sagacity	O
with	O
Robbers	O
at	O
Land	PNM
;	O
as	O
the	O
latter	O
understand	O
what	O
Roads	O
are	O
most	O
frequented	O
,	O
and	O
where	O
it	O
is	O
most	O
likely	O
to	O
meet	O
with	O
Booty	O
,	O
so	O
the	O
former	O
know	O
what	O
Latitude	O
to	O
lie	O
in	O
,	O
in	O
order	O
to	O
intercept	O
Ships	O
;	O
and	O
as	O
the	O
Pyrates	O
happen	O
to	O
be	O
in	O
want	O
of	O
Provisions	O
,	O
Stores	O
,	O
or	O
any	O
particular	O
Lading	O
,	O
they	O
cruise	O
accordingly	O
for	O
such	O
Ships	O
,	O
and	O
are	O
morally	O
certain	O
of	O
meeting	O
with	O
them	O
;	O
and	O
by	O
the	O
same	O
Reason	O
,	O
if	O
the	O
Men	O
of	O
War	O
cruise	O
in	O
those	O
Latitudes	O
,	O
they	O
might	O
be	O
as	O
sure	O
of	O
finding	O
the	O
Pyrates	O
,	O
as	O
the	O
Pyrates	O
are	O
to	O
find	O
the	O
Merchant	O
Ships	O
;	O
and	O
if	O
