Index,PortNames,DistinctLatLong,TooVague,Sea,IndigenousName,Unfindable,NotableFind,Notes,
2,SUMATRA,"-0.6922,101.904131",,,,,,,
3,Sumatra,"-0.6922,101.904131",,,,,,,
4,Quito,"-0.1865938,-78.5709657",,,,,,,
5,Punta Arena,"-0.2516112,-78.5437843",,,,,,,
6,GALAPAGOS,"-0.3830875,-90.9851528",,,,,,,
7,Gallapagos,"-0.3830875,-90.9851528",,,,,,,
8,Gallapagos Islands,"-0.3830875,-90.9851528",,,,,,,
9,Islands Gallapago,"-0.3830875,-90.9851528",,,,,,,
10,Gallapago,"-0.3830875,-90.9851528",,,,,,,
11,Canoas,"-0.464393,-80.45779",,,,,,,
12,Sao Tome and Annobon,"-0.6104183,5.7708174",,,,,,,
13,Rio Nazareth,"-0.6540877,9.0381081",,Y,,,,,
14,Congo North,"-0.6937695,12.6348916",,,,,,,
15,Cap Lopez,"-0.761958,8.7108686",,,,,,,
16,CAPE LOPEZ,"-0.761958,8.7108686",,,,,,,
17,Cape Lopez,"-0.761958,8.7108686",,,,,,,
18,Gabon,"-0.9230338,9.2245431",,,,,,,
19,Guinea,"-0.9230338,9.2245431",Y,,,,,,
20,Manta,"-0.968317,-80.74453",,,,,,,
21,PISANG (SUMATRA),"-0.9919444,100.3323349",,,,,,,
22,Cape San Lorenzo,"-1.0666666,-80.9421095",,,,,,,
23,Cape St. Lorenzo,"-1.0666666,-80.9421095",,,,,,,
24,Cape St. Lorenso,"-1.0666666,-80.9421095",,,,,,,
25,San Lorenzo,"-1.0666666,-80.9421095",,,,,,,
26,Plata,"-1.3013602,-81.1936124",,,,,,,
27,Isle of Plata,"-1.3013602,-81.1936124",,,,,,,
28,ANNABONA,"-1.4342546,5.6187254",,,,,,,
29,Annobon,"-1.4342546,5.6187254",,,,,,,
30,Spice Islands,"-1.9341209,126.6157012",Y,,,,,,
31,Spice Island,"-1.9341209,126.6157012",Y,,,,,,
32,Congo River,"-5.984005,12.81278",,Y,,,,,
33,Lima,"-12.0266034,-77.1278652",,,,,,,
34,Johanna Island,"-12.2260147,44.2944267",,,,,,,
35,DELGADA BAY,"-12.3147351,38.2273798",,Y,,,,,
36,DELLAGO BAY,"-12.3147351,38.2273798",,Y,,,,,
37,MOHILLA ISLAND,"-12.3195238,43.678892",,,,,,,
38,ALL SAINTS BAY,"-12.805502,-38.7733325",,Y,,,,,
39,"SALVADOR, BRAZIL","-12.9017556,-38.4903169",,,,,,,
40,BAHIA,"-13.4244233,-44.2318331",Y,,,,,,
41,"Bahia, port unspecified","-13.4244233,-44.2318331",Y,,,,,,
42,"Brazil, port unspecified","-11.408845,-51.624752",Y,,,,,,
43,Brazil,"-11.408845,-51.624752",Y,,,,,,
44,South America,"-15.52384,-59.589017",Y,,,,,,
45,ST MARY'S SOUND,"-16.9122708,49.7693458",,,,,,,
46,ST MARYS MADAGASCAR,"-16.9122708,49.7693458",,,,,,,
47,"ST MARYS, MADAGASCAR","-16.9122708,49.7693458",,,,,,,
48,ST. MARYS ROAD MADAGASCAR,"-16.9122708,49.7693458",,,,,,,
49,TAHITI,"-17.7089849,-149.4922509",,,,,,,
50,"TAMATAVE, MADAGASCAR","-18.1305659,49.3570338",,,,,,,
51,Arica,"-18.4724735,-70.3242529",,,,,,,
52,Mozambique,"-18.5834324,34.6630882",,,,,,,
53,Magagascar,"-18.7717234,42.3629339",,,,,,,
54,MADAGASCAR,"-19.291226,46.731243",Y,,,,,,
55,Madagascar,"-19.291226,46.731243",Y,,,,,,
56,MADAGASGAR,"-19.291226,46.731243",Y,,,,,,
57,Madagascar,"-19.291226,46.731243",Y,,,,,,
58,Sofala,"-19.0598501,33.672233",,,,,,,
59,Indrapore,"-2.1443567,100.7948715",,,,,,,
60,Guiaquil,"-2.1524996,-80.0503124",,,,,,,
61,Bay of Guiaquil,"-2.1524996,-80.0503124",,,,,,,
62,Guiaquil Town,"-2.1524996,-80.0503124",,,,,,,
63,Guayaquil,"-2.1524996,-80.0503124",,,,,,,
64,Puna,"-2.7374557,-79.9128449",,,,,,,
65,Isle Puna,"-2.7374557,-79.9128449",,,,,,,
66,PALEMBANG RIVER,"-2.9549663,104.6927529",,,,,,,
67,Palimbam,"-2.9549663,104.6927529",,,,,,,
68,Pllimbam,"-2.9549663,104.6927529",,,,,,,
69,PORT LOUIS,"-20.1629776,57.4616713",,,,,,,
70,Port Louis,"-20.1629776,57.4616713",,,,,,,
71,"PORT LOUIS, MAURITIUS","-20.1629776,57.4616713",,,,,,,
72,MAURITIUS,"-20.2030769,56.5516008",,,,,,,
73,Morondova,"-20.2929508,44.2805672",,,,,,,
74,MORANDAVA (MADAGASCAR),"-20.2929508,44.2805672,",,,,,,,
75,ISLAND OF BOURBON,"-21.1352846,55.3868787",,,,,,,
76,NEW CALEDONIA,"-21.2023708,164.7202228",,,,,,,
77,TONGA,"-21.2123855,-175.1835483",,,,,,,
78,Andes,"-21.3989565,-68.6947364",Y,,,,,,
79,Rio de Janeiro province,"-22.0622309,-44.0469588",,,,,,,
80,PYLSTAERT (NR TONGA),"-22.3333327,-176.2175309",,,,,,,
81,RIO DE JANEIRO,"-22.914069,-43.5864088",,,,,,,
82,RIO DE JANERO,"-22.914069,-43.5864088",,,,,,,
83,ST HELENA,"-15.959905,-5.705554",,,,,,,
84,ST HELLENA,"-15.959905,-5.705554",,,,,,,
85,ST. HELENA,"-15.959905,-5.705554",,,,,,,
86,St. Helena,"-15.959905,-5.705554",,,,,,,
87,St. Helena,"-15.959905,-5.705554",,,,,,,
88,Santa Helena,"-15.959905,-5.705554",,,,,,,
89,Point Santa Helena,"-15.959905,-5.705554",,,,,,,
90,Santa Hellena,"-15.959905,-5.705554",,,,,,,
91,Ilha Grande,"-23.1552983,-44.304922",,,,,,,
92,ST AUGUSTINE MADAGASCAR,"-23.5527894,43.7441501",,,,,,,
93,"ST AUGUSTINE'S BAY, MADAGASCAR","-23.5527894,43.7441501",,,,,,,
94,ST AUGUSTINS BAY,"-23.5527894,43.7441501",,,,,,,
95,"ST AUGUSTINS BAY, MADAGASCAR","-23.5527894,43.7441501",,,,,,,
96,ST. AUGUSTINE MADAGASCAR,"-23.5527894,43.7441501",,,,,,,
97,"ST. AUGUSTINE, MADAGASCAR","-23.5527894,43.7441501",,,,,,,
98,"ST. AUGUSTINES, MADAGASCAR","-23.5527894,43.7441501",,,,,,,
99,"AUGUSTINE BAY, MADAGASCAR","-23.5527894,43.7529048",,,,,,,
100,New Holland,"-23.706229,132.498141",Y,,,,,,
101,"Southeast Africa and Indian Ocean islands, port unspecified","-23.9625219,46.0595152",Y,,,,,,
102,FORT DAUPHIN,"-25.0253898,46.9540109",,,,,,,
103,"FORT DAUPHIN BAY, MADAGASCAR","-25.0253898,46.9540109",,,,,,,
104,Port Dauphin,"-25.0253898,46.9540109",,,,,,,
105,New-Holland,"-23.706229,132.498141",Y,,,,,,
106,CAPE ST MARIE,"-25.5958326,45.1303905",,,,,,,
107,CAPE ST MARY,"-25.5958326,45.1303905",,,,,,,
108,Delagoa,"-26.0736615,32.5838101",,,,,,,
109,EASTER ISLAND,"-27.1259625,-109.4090261",,,,,,,
110,Coquimbo,"-29.9704667,-71.3337956",,,,,,,
111,BANJAR ROAD,"-3.2765342,114.7740396",,,,,,,
112,Mayumba,"-3.4395703,10.6517171",,,,,,,
113,Cape Blanco,"-3.5293477,-80.5074387",,,,,,,
114,Para,"-3.6142986,-56.987855",,,,,,,
115,AMBOYNA,"-3.6422775,127.9968693",,,,,,,
116,BENCOOLEN,"-3.825343,102.2343672",,,,,,,
117,BENKULEN,"-3.825343,102.2343672",,,,,,,
118,"BENKULEN, SUMATRA","-3.825343,102.2343672",,,,,,,
119,BENKULEU,"-3.825343,102.2343672",,,,,,,
120,BENKULEU VIA ST HELENA,"-3.825343,102.2343672",,,,,,,
121,Bencoolen,"-3.825343,102.2343672",,,,,,,
122,Bencouli,"-3.825343,102.2343672",,,,,,,
123,FERNANDO NORONHA,"-3.8447969,-32.461997",,,,,,,
124,Bencoolen Road,"-3.846581,102.258818",,Y,,,,,
125,VALPARAISA (CHILE),"-33.0507066,-71.628601",,,,,,,
126,VALPARISO,"-33.0507066,-71.628601",,,,,,,
127,SALDANHA,"-33.0508064,17.9419007",,Y,,,,,
128,SALDANHA BAY,"-33.0508064,17.9419007",,Y,,,,,
129,MASA FUERA,"-33.7689627,-80.8310421",,,,,,,
130,MASAFUERA,"-33.7689627,-80.8310421",,,,,,,
131,Cape Padroon,"-33.7699992,26.4590016",,,,,,,
132,PORT JACKSON,"-33.8470975,151.2448587",,,,,,,
133,PORT JACKSON AUSTRALIA,"-33.8470975,151.2448587",,,,,,,
134,TABE BAY,"-33.8833322,18.4324691",,,,,,,
135,TABLE BAY,"-33.8833322,18.4324691",,,,,,,
136,TABLE BAY TOWARDS MADAGASCAR,"-33.8833322,18.4324691",,,,,,,
137,CAPE TOWN,"-33.9152193,18.3751937",,,,,,,
138,SIMON'S BAY,"-34.1817242,18.4030529",,,,,,,
139,SIMONS BAY,"-34.1817242,18.4030529",,,,,,,
140,FALSE BAY,"-34.2148672,18.5059416",,,,,,,
141,CAPE GOOD HOPE,"-34.3567014,18.4723873",,,,,,,
142,CAPE OF GOOD HOPE,"-34.3567014,18.4723873",,,,,,,
143,Cape of Good Hope,"-34.3567014,18.4723873",,,,,,,
144,Cape of Good Hope,"-34.3567014,18.4723873",,,,,,,
145,Cape de Bon Esperance,"-34.3567014,18.4723873",,,,,,,
146,MALDONADO,"-34.4506089,-55.2550452",,,,,,,
147,"MALDONADO, RIVER PLATE","-34.4506089,-55.2550452",,,,,,,
148,BUENO AIRES,"-34.6158036,-58.5035097",,,,,,,
149,Buenos Aires,"-34.6158036,-58.5035097",,,,,,,
150,MONTEVIDEO,"-34.8210176,-56.3768645",,,,,,,
151,Montevideo,"-34.8210176,-56.3768645",,,,,,,
152,CAPE AGULLAS,"-34.8311103,20.0042794",,,,,,,
153,CAPE LAGUALLAS,"-34.8311103,20.0042794",,,,,,,
154,CAPE LAGULAS,"-34.8311103,20.0042794",,,,,,,
155,CAPE LAGULLAS,"-34.8311103,20.0042794",,,,,,,
156,LOBOS ISLAND (RIVER PLATE),"-35.0271842,-54.9189802",,,,,,,
157,POINT POSESSION,"-35.0574731,117.9245464",,,,,,,
158,RIO DE LA PLATA,"-35.1342545,-57.8644631",,Y,,,,,
159,RIVER PLATE,"-35.1342545,-57.8644631",,Y,,,,,
160,Chile,"-30.1444293,-70.8315427",Y,,,,,,
161,MONTAGUE ISLE,"-36.2512199,150.2225054",,,,,,,
162,Valdivia,"-39.8232657,-73.2616038",,,,,,,
163,Malembo,"-4.0219239,27.7511838",,,,,,,
164,Loango,"-4.2333329,11.4578908",,,,,,,
165,NEW ZEALAND,"-40.428024,174.624675",Y,,,,,,
166,CAPE PALLISSER NEW ZEALAND,"-41.5060956,175.2012548",,,,,,,
167,KING GEORGE'S SOUND,"-42.9499991,147.8245571",,,,,,,
168,CAPE PILLAR,"-43.2263881,147.9976127",,,,,,,
169,Terra Patagonia,"-45.6836683,-70.4046125",,,,,,,
170,Patagonia,"-45.6836683,-70.4046125",,,,,,,Y
171,PORT DESIRE,"-47.7466882,-65.9027034",,,,,,,
172,Colan,"-5.0126706,-81.0772994",,,,,,,
173,Chirapee,"-5.0182166,-81.1209656",,,,,,,
174,Cabinda,"-5.082789,11.9979514",,,,,,,
175,Payta,"-5.0902051,-81.1063744",,,,,,,
176,Piura,"-5.1930848,-80.7019116",,,,,,,
177,South Seas,"-5.4284317,-114.294064",Y,Y,,,,,
178,South Sea,"-5.4284317,-114.294064",Y,Y,,,,,
